"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"OP","Murwillumbah",1,3.13814814814815,3.4991922375401,81,-0.361044089391947
"BM","Muswellbrook",1,5.71923076923077,4.31872236484012,52,1.40050840439065
"L","Muswellbrook",1,3.20659340659341,4.31872236484012,91,-1.11212895824672
"MF","Muswellbrook",1,4.20344827586207,4.31872236484012,87,-0.115274088978053
"OF","Muswellbrook",1,4.91917808219178,4.31872236484012,73,0.600455717351659
"OP","Muswellbrook",1,3.54516129032258,4.31872236484012,93,-0.773561074517541
"BM","Narrandera",1,4.42434782608696,3.47244496204279,23,1.06955455286384
"L","Narrandera",1,2.25041666666667,3.47244496204279,24,-0.924015755938997
"MF","Narrandera",1,3.10857142857143,3.47244496204279,35,-0.363873533471359
"OF","Narrandera",1,4.22055555555556,3.47244496204279,18,0.358382575859891
"OP","Narrandera",1,3.35833333333333,3.47244496204279,24,-0.444167040746402
"BM","Narromine",1,5.38409090909091,3.80887868474879,44,1.57521222434212
"L","Narromine",1,3.62666666666667,3.80887868474879,45,-0.182212018082125
"MF","Narromine",1,3.37317073170732,3.80887868474879,41,-0.435707953041475
"OF","Narromine",1,3.63720930232558,3.80887868474879,43,-0.171669382423211
"OP","Narromine",1,3.02325581395349,3.80887868474879,43,-0.785622870795304
"BM","Northam",1,6.355,3.78481771633385,14,1.06955455286384
"L","Northam",1,2.25333333333333,3.78481771633385,48,-1.53148438300051
"MF","Northam",1,4.19258064516129,3.78481771633385,31,0.407762928827445
"OF","Northam",1,3.81888888888889,3.78481771633385,27,0.358382575859891
"OP","Northam",1,2.30428571428571,3.78481771633385,35,-1.48053200204813
"BM","Nowra",1,4.93015873015873,3.49801260267397,63,1.43214612748476
"L","Nowra",1,2.44854368932039,3.49801260267397,103,-1.04946891335358
"MF","Nowra",1,3.1421686746988,3.49801260267397,83,-0.355843927975172
"OF","Nowra",1,4.15555555555556,3.49801260267397,81,0.657542952881589
"OP","Nowra",1,2.81363636363636,3.49801260267397,88,-0.684376239037603
"BM","Oakbank",1,2.64,2.65220231729055,5,1.06955455286384
"L","Oakbank",1,2.89411764705882,2.65220231729055,17,-0.924015755938997
"MF","Oakbank",1,2.61666666666667,2.65220231729055,12,-0.090221572989505
"OF","Oakbank",1,3.0375,2.65220231729055,16,0.358382575859891
"OP","Oakbank",1,2.07272727272727,2.65220231729055,11,-0.444167040746402
"BM","Orange",1,5.25625,3.63094975977616,32,1.62530024022384
"L","Orange",1,2.29807692307692,3.63094975977616,52,-1.33287283669924
"MF","Orange",1,3.58947368421053,3.63094975977616,38,-0.041476075565634
"OF","Orange",1,4.13030303030303,3.63094975977616,33,0.49935327052687
"OP","Orange",1,2.88064516129032,3.63094975977616,31,-0.750304598485838
"BM","Pakenham",1,4.52824074074074,3.71999615861998,972,0.808244582120758
"L","Pakenham",1,3.15178837555887,3.71999615861998,1342,-0.568207783061115
"MF","Pakenham",1,3.53160343593414,3.71999615861998,1397,-0.188392722685838
"OF","Pakenham",1,4.00817267393127,3.71999615861998,1193,0.288176515311283
"OP","Pakenham",1,3.38017556693489,3.71999615861998,1367,-0.339820591685088
"BM","Parkes",1,4.65,4.25935452631105,16,1.06955455286384
"L","Parkes",1,3.20454545454545,4.25935452631105,22,-0.924015755938997
"MF","Parkes",1,4.46296296296296,4.25935452631105,27,-0.090221572989505
"OF","Parkes",1,4.69230769230769,4.25935452631105,13,0.358382575859891
"OP","Parkes",1,4.28695652173913,4.25935452631105,23,-0.444167040746402
"BM","Penshurst",1,4.61111111111111,3.8739993120055,9,1.06955455286384
"L","Penshurst",1,3.68947368421053,3.8739993120055,19,-0.924015755938997
"MF","Penshurst",1,3.55333333333333,3.8739993120055,15,-0.090221572989505
"OF","Penshurst",1,5.58666666666667,3.8739993120055,15,0.358382575859891
"OP","Penshurst",1,1.92941176470588,3.8739993120055,17,-0.444167040746402
"BM","Pinjarra",1,4.58258278145695,3.73995144938552,151,0.842631332071439
"L","Pinjarra",1,2.27515418502203,3.73995144938552,227,-1.46479726436349
"MF","Pinjarra",1,3.73170542635659,3.73995144938552,258,-0.00824602302892607
"OF","Pinjarra",1,4.73663716814159,3.73995144938552,226,0.996685718756078
"OP","Pinjarra",1,3.37367768595041,3.73995144938552,242,-0.366273763435102
"BM","Port Lincoln",1,4.93958333333333,3.77757994492103,48,1.1620033884123
"L","Port Lincoln",1,2.94358974358974,3.77757994492103,78,-0.833990201331289
"MF","Port Lincoln",1,3.87605633802817,3.77757994492103,71,0.0984763931071369
"OF","Port Lincoln",1,4.41555555555556,3.77757994492103,45,0.637975610634523
"OP","Port Lincoln",1,2.71311475409836,3.77757994492103,61,-1.06446519082267
"BM","Port Macquarie",1,4.84268292682927,3.53980783887388,164,1.30287508795538
"L","Port Macquarie",1,2.46546762589928,3.53980783887388,139,-1.0743402129746
"MF","Port Macquarie",1,3.25367647058824,3.53980783887388,136,-0.286131368285648
"OF","Port Macquarie",1,4.25986842105263,3.53980783887388,152,0.720060582178748
"OP","Port Macquarie",1,2.87734375,3.53980783887388,128,-0.662464088873883
"BM","Queanbeyan",1,5.18666666666667,3.6629696969697,15,1.06955455286384
"L","Queanbeyan",1,2.16818181818182,3.6629696969697,44,-1.49478787878788
"MF","Queanbeyan",1,3.08571428571429,3.6629696969697,35,-0.577255411255411
"OF","Queanbeyan",1,4.44,3.6629696969697,30,0.777030303030303
"OP","Queanbeyan",1,3.43428571428571,3.6629696969697,35,-0.228683982683983
"BM","Quirindi",1,5.02615384615385,3.79757498732437,78,1.22857885882948
"L","Quirindi",1,3.20820895522388,3.79757498732437,67,-0.589366032100485
"MF","Quirindi",1,3.58414634146341,3.79757498732437,41,-0.213428645860951
"OF","Quirindi",1,3.82596153846154,3.79757498732437,52,0.0283865511371726
"OP","Quirindi",1,3.34340425531915,3.79757498732437,47,-0.454170732005217
"BM","Randwick",1,3.74593967517401,3.28821012218874,862,0.457729552985272
"L","Randwick",1,2.83203194321207,3.28821012218874,1127,-0.456178178976674
"MF","Randwick",1,3.17065217391304,3.28821012218874,1104,-0.117557948275698
"OF","Randwick",1,3.50066857688634,3.28821012218874,1047,0.2124584546976
"OP","Randwick",1,3.19175824175824,3.28821012218874,1092,-0.0964518804304997
"BM","Rockhampton",1,4.90179856115108,3.93000649273773,278,0.971792068413345
"L","Rockhampton",1,3.02104651162791,3.93000649273773,430,-0.908959981109827
"MF","Rockhampton",1,3.95949868073879,3.93000649273773,379,0.0294921880010519
"OF","Rockhampton",1,4.33922155688623,3.93000649273773,334,0.409215064148493
"OP","Rockhampton",1,3.42846715328467,3.93000649273773,411,-0.501539339453063
"BM","Rosehill",1,3.88566308243728,3.20640419171206,837,0.679258890725213
"L","Rosehill",1,2.85605263157895,3.20640419171206,760,-0.350351560133115
"MF","Rosehill",1,3.01359084406295,3.20640419171206,699,-0.192813347649116
"OF","Rosehill",1,3.40761772853186,3.20640419171206,722,0.201213536819793
"OP","Rosehill",1,2.86909667194929,3.20640419171206,631,-0.337307519762776
"BM","Sale",1,4.70229885057471,3.83543735616831,87,0.8668614944064
"L","Sale",1,2.85022123893805,3.83543735616831,226,-0.985216117230259
"MF","Sale",1,3.69357798165138,3.83543735616831,218,-0.141859374516936
"OF","Sale",1,4.3441935483871,3.83543735616831,155,0.508756192218784
"OP","Sale",1,3.58689516129032,3.83543735616831,248,-0.24854219487799
"BM","Sandown",1,3.41025641025641,3.17522003994562,39,0.235036370310794
"L","Sandown",1,2.49298780487805,3.17522003994562,164,-0.682232235067567
"MF","Sandown",1,3.27341040462428,3.17522003994562,173,0.0981903646786617
"OF","Sandown",1,3.60970873786408,3.17522003994562,103,0.434488697918462
"OP","Sandown",1,3.08973684210526,3.17522003994562,190,-0.0854831978403525
"BM","Sapphire Coast",1,4.52404761904762,3.35576519982433,42,1.16828241922329
"L","Sapphire Coast",1,2.00873015873016,3.35576519982433,63,-1.34703504109417
"MF","Sapphire Coast",1,2.96173913043478,3.35576519982433,46,-0.394026069389548
"OF","Sapphire Coast",1,4.35290909090909,3.35576519982433,55,0.997143891084761
"OP","Sapphire Coast",1,2.9314,3.35576519982433,50,-0.42436519982433
"BM","Scone",1,4.97192052980132,4.01162860627885,151,0.960291923522471
"L","Scone",1,3.14813253012048,4.01162860627885,166,-0.863496076158372
"MF","Scone",1,3.80666666666667,4.01162860627885,171,-0.204961939612187
"OF","Scone",1,4.29632653061225,4.01162860627885,147,0.284697924333392
"OP","Scone",1,3.83509677419355,4.01162860627885,155,-0.176531832085305
"BM","Seymour",1,5.08125,3.90989985014985,64,1.17135014985015
"L","Seymour",1,2.91071428571429,3.90989985014985,140,-0.999185564435565
"MF","Seymour",1,3.78757575757576,3.90989985014985,165,-0.122324092574093
"OF","Seymour",1,4.20681818181818,3.90989985014985,132,0.296918331668332
"OP","Seymour",1,3.56314102564103,3.90989985014985,156,-0.346758824508825
"BM","St Arnaud",1,3.51,2.85861111111111,10,1.06955455286384
"L","St Arnaud",1,1.7375,2.85861111111111,24,-0.924015755938997
"MF","St Arnaud",1,3.18,2.85861111111111,25,-0.090221572989505
"OF","St Arnaud",1,4.16,2.85861111111111,15,0.358382575859891
"OP","St Arnaud",1,1.70555555555556,2.85861111111111,18,-0.444167040746402
"BM","Stawell",1,4.53823529411765,3.53367025785924,34,1.00456503625841
"L","Stawell",1,2.23731343283582,3.53367025785924,67,-1.29635682502342
"MF","Stawell",1,3.29677419354839,3.53367025785924,62,-0.236896064310849
"OF","Stawell",1,4.18936170212766,3.53367025785924,47,0.655691444268423
"OP","Stawell",1,3.40666666666667,3.53367025785924,60,-0.12700359119257
"BM","Stony Creek",1,5.48478260869565,4.0071681157835,46,1.47761449291215
"L","Stony Creek",1,2.82075471698113,4.0071681157835,106,-1.18641339880237
"MF","Stony Creek",1,3.87894736842105,4.0071681157835,76,-0.128220747362451
"OF","Stony Creek",1,4.74931506849315,4.0071681157835,73,0.742146952709647
"OP","Stony Creek",1,3.10204081632653,4.0071681157835,98,-0.905127299456973
"BM","Strathalbyn",1,5.18620689655172,3.77106196885371,29,1.06955455286384
"L","Strathalbyn",1,2.83069306930693,3.77106196885371,101,-0.940368899546776
"MF","Strathalbyn",1,3.84414414414414,3.77106196885371,111,0.0730821752904376
"OF","Strathalbyn",1,3.80153846153846,3.77106196885371,65,0.0304764926847549
"OP","Strathalbyn",1,3.19272727272727,3.77106196885371,110,-0.578334696126434
"BM","Sunshine Coast",1,4.62159827213823,3.62418587687794,463,0.997412395260286
"L","Sunshine Coast",1,2.74732006125574,3.62418587687794,653,-0.8768658156222
"MF","Sunshine Coast",1,3.46336134453782,3.62418587687794,595,-0.160824532340127
"OF","Sunshine Coast",1,4.14579256360078,3.62418587687794,511,0.521606686722841
"OP","Sunshine Coast",1,3.14285714285714,3.62418587687794,567,-0.4813287340208
"BM","Swan Hill",1,3.6,3.35638009049774,9,1.06955455286384
"L","Swan Hill",1,3.27307692307692,3.35638009049774,26,-0.924015755938997
"MF","Swan Hill",1,3.15882352941176,3.35638009049774,17,-0.090221572989505
"OF","Swan Hill",1,3.8,3.35638009049774,20,0.358382575859891
"OP","Swan Hill",1,2.95,3.35638009049774,18,-0.444167040746402
"BM","Tamworth",1,5.012,3.85509728372617,175,1.15690271627383
"L","Tamworth",1,3.25230366492147,3.85509728372617,191,-0.602793618804707
"MF","Tamworth",1,3.76109452736318,3.85509728372617,201,-0.0940027563629884
"OF","Tamworth",1,3.88745664739884,3.85509728372617,173,0.0323593636726716
"OP","Tamworth",1,3.36263157894737,3.85509728372617,209,-0.492465704778804
"BM","Taree",1,5.089,3.75025591053951,80,1.33874408946049
"L","Taree",1,2.47103092783505,3.75025591053951,97,-1.27922498270446
"MF","Taree",1,3.67122222222222,3.75025591053951,90,-0.0790336883172857
"OF","Taree",1,4.19933333333333,3.75025591053951,75,0.449077422793826
"OP","Taree",1,3.32069306930693,3.75025591053951,101,-0.429562841232577
"BM","Tatura",1,5.77173913043478,3.96134836027499,46,1.81039077015979
"L","Tatura",1,2.29538461538462,3.96134836027499,65,-1.66596374489038
"MF","Tatura",1,4.0140625,3.96134836027499,64,0.0527141397250093
"OF","Tatura",1,4.44222222222222,3.96134836027499,45,0.480873861947232
"OP","Tatura",1,3.28333333333333,3.96134836027499,60,-0.678015026941657
"BM","Terang",1,5.00914285714286,4.08475133152597,175,0.924391525616887
"L","Terang",1,3.23131313131313,4.08475133152597,198,-0.853438200212839
"MF","Terang",1,3.84195402298851,4.08475133152597,174,-0.242797308537464
"OF","Terang",1,4.36984126984127,4.08475133152597,189,0.285089938315299
"OP","Terang",1,3.97150537634409,4.08475133152597,186,-0.113245955181884
"BM","Townsville",1,4.44072681704261,3.41115259994086,399,1.02957421710175
"L","Townsville",1,2.73151260504202,3.41115259994086,357,-0.679639994898841
"MF","Townsville",1,3.17931596091205,3.41115259994086,307,-0.231836639028806
"OF","Townsville",1,3.57329545454545,3.41115259994086,264,0.162142854604596
"OP","Townsville",1,3.13091216216216,3.41115259994086,296,-0.280240437778696
"BM","Traralgon",1,4.92222222222222,4.1539766573296,9,1.06955455286384
"L","Traralgon",1,1.995,4.1539766573296,20,-0.924015755938997
"MF","Traralgon",1,4.47647058823529,4.1539766573296,17,-0.090221572989505
"OF","Traralgon",1,5.9,4.1539766573296,10,0.358382575859891
"OP","Traralgon",1,3.47619047619048,4.1539766573296,21,-0.444167040746402
"BM","Tuncurry",1,5.72195121951219,3.92005749331969,41,1.80189372619251
"L","Tuncurry",1,3.03939393939394,3.92005749331969,33,-0.880663553925749
"MF","Tuncurry",1,3.18125,3.92005749331969,32,-0.738807493319689
"OF","Tuncurry",1,4.40384615384615,3.92005749331969,26,0.358382575859891
"OP","Tuncurry",1,3.25384615384615,3.92005749331969,26,-0.444167040746402
"BM","Wagga",1,4.74622302158273,3.83126192388196,278,0.914961097700774
"L","Wagga",1,3.1153488372093,3.83126192388196,258,-0.715913086672657
"MF","Wagga",1,3.75114285714286,3.83126192388196,245,-0.0801190667391021
"OF","Wagga",1,4.0034749034749,3.83126192388196,259,0.172212979592944
"OP","Wagga",1,3.54012,3.83126192388196,250,-0.291141923881959
"BM","Walcha",1,1.33333333333333,3.26638888888889,3,1.06955455286384
"L","Walcha",1,2.71111111111111,3.26638888888889,9,-0.924015755938997
"MF","Walcha",1,4.6875,3.26638888888889,8,-0.090221572989505
"OF","Walcha",1,4.8,3.26638888888889,9,0.358382575859891
"OP","Walcha",1,2.8,3.26638888888889,2,-0.444167040746402
"BM","Wangaratta",1,4.73578431372549,4.11567385072667,102,0.620110462998818
"L","Wangaratta",1,3.39137931034483,4.11567385072667,232,-0.724294540381844
"MF","Wangaratta",1,3.96074561403509,4.11567385072667,228,-0.154928236691584
"OF","Wangaratta",1,4.61925465838509,4.11567385072667,161,0.503580807658421
"OP","Wangaratta",1,3.87120535714286,4.11567385072667,224,-0.244468493583814
"BM","Warracknabeal",1,5.35316455696203,3.9914176438267,79,1.36174691313533
"L","Warracknabeal",1,3.36288659793814,3.9914176438267,97,-0.628531045888555
"MF","Warracknabeal",1,4.16037735849057,3.9914176438267,106,0.168959714663866
"OF","Warracknabeal",1,3.63372093023256,3.9914176438267,86,-0.357696713594141
"OP","Warracknabeal",1,3.4469387755102,3.9914176438267,98,-0.544478868316495
"BM","Warren",1,5.7412,4.0964516017316,25,1.06955455286384
"L","Warren",1,3.23151515151515,4.0964516017316,33,-0.86493645021645
"MF","Warren",1,3.86714285714286,4.0964516017316,28,-0.090221572989505
"OF","Warren",1,4.53,4.0964516017316,30,0.433548398268399
"OP","Warren",1,3.1124,4.0964516017316,25,-0.444167040746402
"BM","Warrnambool",1,4.3,3.50709611543202,222,0.79290388456798
"L","Warrnambool",1,3.03346774193548,3.50709611543202,248,-0.473628373496536
"MF","Warrnambool",1,3.33083003952569,3.50709611543202,253,-0.176266075906328
"OF","Warrnambool",1,3.40201612903226,3.50709611543202,248,-0.105079986399762
"OP","Warrnambool",1,3.46916666666667,3.50709611543202,240,-0.0379294487653534
"BM","Warwick Farm",1,3.96780626780627,3.33798764010841,702,0.62981862769786
"L","Warwick Farm",1,2.61313035204567,3.33798764010841,1051,-0.724857288062737
"MF","Warwick Farm",1,3.40516473731077,3.33798764010841,1123,0.0671770972023666
"OF","Warwick Farm",1,3.62736625514403,3.33798764010841,972,0.289378615035625
"OP","Warwick Farm",1,3.07647058823529,3.33798764010841,1088,-0.261517051873114
"BM","Werribee",1,4.75128205128205,3.70239185620261,39,1.04889019507944
"L","Werribee",1,2.88318584070796,3.70239185620261,113,-0.819206015494642
"MF","Werribee",1,3.51842105263158,3.70239185620261,114,-0.183970803571027
"OF","Werribee",1,4.07466666666667,3.70239185620261,75,0.37227481046406
"OP","Werribee",1,3.28440366972477,3.70239185620261,109,-0.417988186477836
"BM","Wodonga",1,5.03467153284672,3.94222470596002,137,1.09244682688669
"L","Wodonga",1,3.01729559748428,3.94222470596002,159,-0.924929108475744
"MF","Wodonga",1,4.10827586206897,3.94222470596002,145,0.166051156108945
"OF","Wodonga",1,3.94779411764706,3.94222470596002,136,0.00556941168703817
"OP","Wodonga",1,3.60308641975309,3.94222470596002,162,-0.339138286206934
"BM","Wyong",1,4.8944578313253,3.72970116305919,83,1.16475666826611
"L","Wyong",1,2.32787096774194,3.72970116305919,155,-1.40183019531725
"MF","Wyong",1,3.88698717948718,3.72970116305919,156,0.157286016427993
"OF","Wyong",1,4.4281679389313,3.72970116305919,131,0.698466775872111
"OP","Wyong",1,3.11102189781022,3.72970116305919,137,-0.618679265248967
"BM","Yarra Valley",1,5.58529411764706,3.51972439850887,34,2.06556971913819
"L","Yarra Valley",1,2.06753246753247,3.51972439850887,77,-1.4521919309764
"MF","Yarra Valley",1,3.21971830985916,3.51972439850887,71,-0.300006088649715
"OF","Yarra Valley",1,3.3530612244898,3.51972439850887,49,-0.166663174019074
"OP","Yarra Valley",1,3.37301587301587,3.51972439850887,63,-0.146708525492997
"BM","Adelaide River",2,3.8,3.20409523809524,1,0.978680173657695
"L","Adelaide River",2,3.43333333333333,3.20409523809524,9,-0.846703105217439
"MF","Adelaide River",2,2.98,3.20409523809524,5,-0.113541787848466
"OF","Adelaide River",2,2.55,3.20409523809524,2,0.288564678886332
"OP","Adelaide River",2,3.25714285714286,3.20409523809524,7,-0.447404923670072
"BM","Albany",2,4.46666666666667,3.39028792739898,66,1.07637873926768
"L","Albany",2,2.73376623376623,3.39028792739898,77,-0.656521693632749
"MF","Albany",2,3.11641791044776,3.39028792739898,67,-0.273870016951221
"OF","Albany",2,3.5864406779661,3.39028792739898,59,0.196152750567119
"OP","Albany",2,3.04814814814815,3.39028792739898,81,-0.342139779250834
"BM","Alice Springs",2,5.5475138121547,4.1226501580159,181,1.42486365413879
"L","Alice Springs",2,2.75862944162437,4.1226501580159,394,-1.36402071639154
"MF","Alice Springs",2,4.34713656387665,4.1226501580159,227,0.224486405860749
"OF","Alice Springs",2,4.53846153846154,4.1226501580159,169,0.415811380445636
"OP","Alice Springs",2,3.42150943396226,4.1226501580159,265,-0.701140724053638
"BM","Ararat",2,4.83908045977011,3.93153508843377,87,0.907545371336342
"L","Ararat",2,2.4937984496124,3.93153508843377,129,-1.43773663882137
"MF","Ararat",2,3.98740157480315,3.93153508843377,127,0.0558664863693776
"OF","Ararat",2,4.46764705882353,3.93153508843377,102,0.536111970389757
"OP","Ararat",2,3.86974789915966,3.93153508843377,119,-0.0617871892741082
"BM","Armidale",2,4.61927710843374,3.56033626508694,83,1.0589408433468
"L","Armidale",2,2.80727272727273,3.56033626508694,55,-0.75306353781421
"MF","Armidale",2,3.37659574468085,3.56033626508694,47,-0.183740520406086
"OF","Armidale",2,3.91481481481481,3.56033626508694,54,0.354478549727878
"OP","Armidale",2,3.08372093023256,3.56033626508694,43,-0.476615334854379
"BM","Ascot",2,4.07622877569258,3.3096332028079,1119,0.766595572884678
"L","Ascot",2,2.93126721763085,3.3096332028079,726,-0.378365985177051
"MF","Ascot",2,3.18031400966184,3.3096332028079,828,-0.129319193146069
"OF","Ascot",2,3.39851222104145,3.3096332028079,941,0.0888790182335408
"OP","Ascot",2,2.9618437900128,3.3096332028079,781,-0.3477894127951
"BM","Avoca",2,4.27096774193548,3.73248936368291,31,0.538478378252571
"L","Avoca",2,2.61777777777778,3.73248936368291,45,-1.11471158590513
"MF","Avoca",2,4.15,3.73248936368291,44,0.417510636317088
"OF","Avoca",2,4.90227272727273,3.73248936368291,44,1.16978336358982
"OP","Avoca",2,2.72142857142857,3.73248936368291,42,-1.01106079225434
"BM","Bairnsdale",2,6.39,4.17683333333333,20,0.978680173657695
"L","Bairnsdale",2,2.9,4.17683333333333,18,-0.846703105217439
"MF","Bairnsdale",2,4.29,4.17683333333333,20,-0.113541787848466
"OF","Bairnsdale",2,4.2375,4.17683333333333,16,0.288564678886332
"OP","Bairnsdale",2,3.06666666666667,4.17683333333333,18,-0.447404923670072
"BM","Ballarat",2,4.59478672985782,3.83076346758081,211,0.764023262277007
"L","Ballarat",2,3.21473684210526,3.83076346758081,190,-0.616026625475549
"MF","Ballarat",2,3.74190476190476,3.83076346758081,210,-0.0888587056760506
"OF","Ballarat",2,4.10266990291262,3.83076346758081,206,0.271906435331809
"OP","Ballarat",2,3.4997191011236,3.83076346758081,178,-0.331044366457217
"BM","Ballina",2,6.00766666666667,3.61177080726605,60,2.39589585940062
"L","Ballina",2,2.07588235294118,3.61177080726605,68,-1.53588845432487
"MF","Ballina",2,3.80246153846154,3.61177080726605,65,0.190690731195489
"OF","Ballina",2,3.38304347826087,3.61177080726605,46,-0.228727329005181
"OP","Ballina",2,2.7898,3.61177080726605,50,-0.82197080726605
"BM","Belmont",2,4.55655618850337,3.60747013399915,1931,0.949086054504219
"L","Belmont",2,3.09988017429194,3.60747013399915,1836,-0.507589959707208
"MF","Belmont",2,3.45317602642756,3.60747013399915,2119,-0.154294107571587
"OF","Belmont",2,3.80371511068335,3.60747013399915,2078,0.196244976684202
"OP","Belmont",2,3.12402317008952,3.60747013399915,1899,-0.483446963909626
"BM","Benalla",2,4.51923076923077,3.56649722597091,26,0.978680173657695
"L","Benalla",2,3.04210526315789,3.56649722597091,19,-0.846703105217439
"MF","Benalla",2,4.06315789473684,3.56649722597091,19,-0.113541787848466
"OF","Benalla",2,3.71851851851852,3.56649722597091,27,0.288564678886332
"OP","Benalla",2,2.48947368421053,3.56649722597091,19,-0.447404923670072
"BM","Bendigo",2,4.75610687022901,3.85628656926896,131,0.899820300960044
"L","Bendigo",2,4.04041095890411,3.85628656926896,73,0.184124389635145
"MF","Bendigo",2,3.048125,3.85628656926896,80,-0.808161569268964
"OF","Bendigo",2,3.54642857142857,3.85628656926896,84,-0.309857997840393
"OP","Bendigo",2,3.89036144578313,3.85628656926896,83,0.0340748765141683
"BM","Birdsville",2,5.57142857142857,4.31973834988541,7,0.978680173657695
"L","Birdsville",2,1.82352941176471,4.31973834988541,17,-0.846703105217439
"MF","Birdsville",2,5.55714285714286,4.31973834988541,7,-0.113541787848466
"OF","Birdsville",2,5.60909090909091,4.31973834988541,11,0.288564678886332
"OP","Birdsville",2,3.0375,4.31973834988541,8,-0.447404923670072
"BM","Bowen",2,4.51578947368421,3.7046455505279,19,0.978680173657695
"L","Bowen",2,1.56538461538462,3.7046455505279,26,-0.846703105217439
"MF","Bowen",2,4.21666666666667,3.7046455505279,24,-0.113541787848466
"OF","Bowen",2,4.64117647058824,3.7046455505279,17,0.288564678886332
"OP","Bowen",2,3.58421052631579,3.7046455505279,19,-0.447404923670072
"BM","Bowraville",2,2.5,2.80559523809524,2,0.978680173657695
"L","Bowraville",2,2.23333333333333,2.80559523809524,12,-0.846703105217439
"MF","Bowraville",2,4.1,2.80559523809524,10,-0.113541787848466
"OF","Bowraville",2,3.9375,2.80559523809524,8,0.288564678886332
"OP","Bowraville",2,1.25714285714286,2.80559523809524,7,-0.447404923670072
"BM","Broome",2,6.30357142857143,4.1350967064125,28,0.978680173657695
"L","Broome",2,1.62727272727273,4.1350967064125,44,-2.50782397913977
"MF","Broome",2,5.06315789473684,4.1350967064125,19,-0.113541787848466
"OF","Broome",2,4.72222222222222,4.1350967064125,18,0.288564678886332
"OP","Broome",2,2.95925925925926,4.1350967064125,27,-0.447404923670072
"BM","Burrumbeet",2,1.95,3.23961538461538,2,0.978680173657695
"L","Burrumbeet",2,2.89230769230769,3.23961538461538,13,-0.846703105217439
"MF","Burrumbeet",2,2.93076923076923,3.23961538461538,13,-0.113541787848466
"OF","Burrumbeet",2,5.025,3.23961538461538,4,0.288564678886332
"OP","Burrumbeet",2,3.4,3.23961538461538,8,-0.447404923670072
"BM","Camperdown",2,6.85,5.318,2,0.978680173657695
"L","Camperdown",2,4.53333333333333,5.318,3,-0.846703105217439
"MF","Camperdown",2,3.96,5.318,5,-0.113541787848466
"OF","Camperdown",2,6.56666666666667,5.318,3,0.288564678886332
"OP","Camperdown",2,4.68,5.318,5,-0.447404923670072
"BM","Canterbury",2,3.80077881619938,3.13856909345008,642,0.662209722749294
"L","Canterbury",2,2.58409506398537,3.13856909345008,547,-0.554474029464708
"MF","Canterbury",2,3.1847866419295,3.13856909345008,539,0.0462175484794161
"OF","Canterbury",2,3.25151515151515,3.13856909345008,594,0.112946058065068
"OP","Canterbury",2,2.87166979362101,3.13856909345008,533,-0.26689929982907
"BM","Carnarvon",2,7.02153846153846,4.72586488067949,39,2.29567358085897
"L","Carnarvon",2,2.81974683544304,4.72586488067949,79,-1.90611804523646
"MF","Carnarvon",2,4.39303571428571,4.72586488067949,56,-0.33282916639378
"OF","Carnarvon",2,5.32022727272727,4.72586488067949,44,0.594362392047779
"OP","Carnarvon",2,4.07477611940299,4.72586488067949,67,-0.651088761276509
"BM","Casterton",2,4.65705128205128,3.89755564507956,78,0.759495636971724
"L","Casterton",2,2.98967391304348,3.89755564507956,92,-0.907881732036079
"MF","Casterton",2,3.992,3.89755564507956,100,0.0944443549204421
"OF","Casterton",2,4.55113636363636,3.89755564507956,88,0.653580718556805
"OP","Casterton",2,3.29791666666667,3.89755564507956,96,-0.599638978412891
"BM","Caulfield",2,4.1880721220527,3.35747961062152,1442,0.830592511431184
"L","Caulfield",2,2.93445767195767,3.35747961062152,756,-0.423021938663849
"MF","Caulfield",2,3.14803680981595,3.35747961062152,815,-0.20944280080557
"OF","Caulfield",2,3.46393709327549,3.35747961062152,922,0.106457482653967
"OP","Caulfield",2,3.05289435600579,3.35747961062152,691,-0.304585254615732
"BM","Cessnock",2,5.38571428571429,3.47226293995859,21,0.978680173657695
"L","Cessnock",2,2.505,3.47226293995859,20,-0.846703105217439
"MF","Cessnock",2,2.4952380952381,3.47226293995859,21,-0.113541787848466
"OF","Cessnock",2,3.96666666666667,3.47226293995859,18,0.288564678886332
"OP","Cessnock",2,3.00869565217391,3.47226293995859,23,-0.447404923670072
"BM","Clare",2,4.46666666666667,3.77232100764732,6,0.978680173657695
"L","Clare",2,3.2025641025641,3.77232100764732,39,-0.569756905083221
"MF","Clare",2,3.176,3.77232100764732,25,-0.113541787848466
"OF","Clare",2,5.41111111111111,3.77232100764732,9,0.288564678886332
"OP","Clare",2,2.60526315789474,3.77232100764732,38,-1.16705784975259
"BM","Colac",2,4.08958333333333,3.68616329494425,48,0.403420038389079
"L","Colac",2,3.99705882352941,3.68616329494425,34,0.310895528585157
"MF","Colac",2,3.25135135135135,3.68616329494425,37,-0.434811943592904
"OF","Colac",2,3.94545454545455,3.68616329494425,33,0.25929125051029
"OP","Colac",2,3.14736842105263,3.68616329494425,38,-0.538794873891623
"BM","Coleraine",2,6.4,3.93390476190476,7,0.978680173657695
"L","Coleraine",2,3.54285714285714,3.93390476190476,14,-0.846703105217439
"MF","Coleraine",2,3.48,3.93390476190476,10,-0.113541787848466
