"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"OF","Canterbury",1,3.38740245261984,3.14678774912148,897,0.240614703498365
"OP","Canterbury",1,2.89734325185972,3.14678774912148,941,-0.249444497261755
"BM","Casino",1,5.28169811320755,3.7168914433698,53,1.56480666983775
"L","Casino",1,2.43490196078431,3.7168914433698,51,-1.28198948258549
"MF","Casino",1,3.19119047619048,3.7168914433698,42,-0.525700967179325
"OF","Casino",1,4.11166666666667,3.7168914433698,48,0.394775223296866
"OP","Casino",1,3.565,3.7168914433698,38,-0.151891443369801
"BM","Caulfield",1,4.40512465373961,3.53775457053365,722,0.867370083205965
"L","Caulfield",1,2.97374331550802,3.53775457053365,935,-0.564011255025626
"MF","Caulfield",1,3.49842057761733,3.53775457053365,1108,-0.0393339929163186
"OF","Caulfield",1,3.51536144578313,3.53775457053365,996,-0.0223931247505145
"OP","Caulfield",1,3.29612286002014,3.53775457053365,993,-0.241631710513506
"BM","Coffs Harbour",1,4.56142857142857,3.89725445937211,70,0.664174112056465
"L","Coffs Harbour",1,3.51076923076923,3.89725445937211,65,-0.386485228602876
"MF","Coffs Harbour",1,3.40810810810811,3.89725445937211,74,-0.489146351263998
"OF","Coffs Harbour",1,4.45882352941176,3.89725445937211,68,0.561569070039659
"OP","Coffs Harbour",1,3.54714285714286,3.89725445937211,70,-0.350111602229249
"BM","Colac",1,4.84705882352941,3.44349056725926,34,1.40356825627015
"L","Colac",1,2.52545454545455,3.44349056725926,55,-0.918036021804716
"MF","Colac",1,3.56779661016949,3.44349056725926,59,0.12430604291023
"OF","Colac",1,3.795,3.44349056725926,40,0.351509432740739
"OP","Colac",1,2.48214285714286,3.44349056725926,56,-0.961347710116404
"BM","Coleraine",1,6.4,3.25666666666667,1,1.06955455286384
"L","Coleraine",1,2.3,3.25666666666667,2,-0.924015755938997
"MF","Coleraine",1,4.13333333333333,3.25666666666667,3,-0.090221572989505
"OF","Coleraine",1,3.45,3.25666666666667,2,0.358382575859891
"OP","Coleraine",1,0,3.25666666666667,1,-0.444167040746402
"BM","Coonabarabran",1,5.10810810810811,3.86649881460408,37,1.24160929350403
"L","Coonabarabran",1,3.02105263157895,3.86649881460408,19,-0.924015755938997
"MF","Coonabarabran",1,3.2,3.86649881460408,8,-0.090221572989505
"OF","Coonabarabran",1,4.63,3.86649881460408,20,0.358382575859891
"OP","Coonabarabran",1,3.37333333333333,3.86649881460408,15,-0.444167040746402
"BM","Coonamble",1,5.19047619047619,3.96845157293687,21,1.06955455286384
"L","Coonamble",1,3.41538461538462,3.96845157293687,26,-0.924015755938997
"MF","Coonamble",1,3.61764705882353,3.96845157293687,17,-0.090221572989505
"OF","Coonamble",1,5.14375,3.96845157293687,16,0.358382575859891
"OP","Coonamble",1,2.475,3.96845157293687,24,-0.444167040746402
"BM","Cootamundra",1,2,2.54098484848485,3,1.06955455286384
"L","Cootamundra",1,2.3125,2.54098484848485,8,-0.924015755938997
"MF","Cootamundra",1,2.95,2.54098484848485,6,-0.090221572989505
"OF","Cootamundra",1,3.03333333333333,2.54098484848485,3,0.358382575859891
"OP","Cootamundra",1,2.40909090909091,2.54098484848485,11,-0.444167040746402
"BM","Corowa",1,4.84333333333333,4.4522021899669,15,1.06955455286384
"L","Corowa",1,2.94214285714286,4.4522021899669,28,-0.924015755938997
"MF","Corowa",1,4.98772727272727,4.4522021899669,22,-0.090221572989505
"OF","Corowa",1,5.77235294117647,4.4522021899669,17,0.358382575859891
"OP","Corowa",1,3.71545454545455,4.4522021899669,22,-0.444167040746402
"BM","Cowra",1,4.77931034482759,3.3909493096589,29,1.06955455286384
"L","Cowra",1,2.13478260869565,3.3909493096589,23,-0.924015755938997
"MF","Cowra",1,3.17333333333333,3.3909493096589,15,-0.090221572989505
"OF","Cowra",1,3.51176470588235,3.3909493096589,17,0.358382575859891
"OP","Cowra",1,3.35555555555556,3.3909493096589,18,-0.444167040746402
"BM","Cranbourne",1,4.75690072639225,3.67328429161918,413,1.08361643477307
"L","Cranbourne",1,2.70866551126516,3.67328429161918,577,-0.964618780354018
"MF","Cranbourne",1,3.67317666126418,3.67328429161918,617,-0.000107630355001831
"OF","Cranbourne",1,3.88548057259714,3.67328429161918,489,0.212196280977954
"OP","Cranbourne",1,3.34219798657718,3.67328429161918,596,-0.331086305042002
"BM","Dalby",1,4.35957446808511,3.58479514463364,47,0.774779323451463
"L","Dalby",1,3.25981308411215,3.58479514463364,107,-0.324982060521493
"MF","Dalby",1,3.31290322580645,3.58479514463364,62,-0.271891918827191
"OF","Dalby",1,3.73050847457627,3.58479514463364,59,0.145713329942629
"OP","Dalby",1,3.26117647058824,3.58479514463364,85,-0.323618674045407
"BM","Devonport",1,4.1656462585034,3.18173967123779,147,0.983906587265611
"L","Devonport",1,2.27544910179641,3.18173967123779,167,-0.906290569441383
"MF","Devonport",1,3.0167701863354,3.18173967123779,161,-0.164969484902387
"OF","Devonport",1,3.39763513513514,3.18173967123779,148,0.215895463897345
"OP","Devonport",1,3.0531976744186,3.18173967123779,172,-0.128541996819186
"BM","Donald",1,4.59398148148148,3.62320663316208,108,0.970774848319399
"L","Donald",1,2.80592105263158,3.62320663316208,152,-0.817285580530504
"MF","Donald",1,3.43214285714286,3.62320663316208,154,-0.191063776019226
"OF","Donald",1,3.73464566929134,3.62320663316208,127,0.111439036129256
"OP","Donald",1,3.54934210526316,3.62320663316208,152,-0.0738645278989249
"BM","Doomben",1,4.52073567708333,3.56152026341713,3072,0.959215413666207
"L","Doomben",1,2.66430384336476,3.56152026341713,2758,-0.89721642005237
"MF","Doomben",1,3.54482504604052,3.56152026341713,2715,-0.0166952173766108
"OF","Doomben",1,3.85333086602517,3.56152026341713,2702,0.29181060260804
"OP","Doomben",1,3.22440588457186,3.56152026341713,2651,-0.337114378845267
"BM","Dubbo",1,5.113,3.98848997486532,160,1.12451002513468
"L","Dubbo",1,3.25406060606061,3.98848997486532,165,-0.734429368804711
"MF","Dubbo",1,3.54239726027397,3.98848997486532,146,-0.446092714591344
"OF","Dubbo",1,4.62837662337662,3.98848997486532,154,0.639886648511306
"OP","Dubbo",1,3.40461538461538,3.98848997486532,156,-0.583874590249933
"BM","Eagle Farm",1,4.09090044388079,3.57689888026074,1577,0.51400156362005
